Version,Kind,Prefix
intstr,IntOrString,io_k8s_apimachinery_pkg_util_intstr
resource,Quantity,io_k8s_apimachinery_pkg_api_resource
runtime,RawExtension,io_k8s_apimachinery_pkg_runtime
v1,APIGroup,io_k8s_apimachinery_pkg_apis_meta_v1
v1,APIGroupList,io_k8s_apimachinery_pkg_apis_meta_v1
v1,APIResource,io_k8s_apimachinery_pkg_apis_meta_v1
v1,APIResourceList,io_k8s_apimachinery_pkg_apis_meta_v1
v1,APIService,io_k8s_kube_aggregator_pkg_apis_apiregistration_v1
v1,APIServiceCondition,io_k8s_kube_aggregator_pkg_apis_apiregistration_v1
v1,APIServiceList,io_k8s_kube_aggregator_pkg_apis_apiregistration_v1
v1,APIServiceSpec,io_k8s_kube_aggregator_pkg_apis_apiregistration_v1
v1,APIServiceStatus,io_k8s_kube_aggregator_pkg_apis_apiregistration_v1
v1,APIVersions,io_k8s_apimachinery_pkg_apis_meta_v1
v1,AWSElasticBlockStoreVolumeSource,io_k8s_api_core_v1
v1,Affinity,io_k8s_api_core_v1
v1,AggregationRule,io_k8s_api_rbac_v1
v1,AppArmorProfile,io_k8s_api_core_v1
v1,AttachedVolume,io_k8s_api_core_v1
v1,AuditAnnotation,io_k8s_api_admissionregistration_v1
v1,AzureDiskVolumeSource,io_k8s_api_core_v1
v1,AzureFilePersistentVolumeSource,io_k8s_api_core_v1
v1,AzureFileVolumeSource,io_k8s_api_core_v1
v1,Binding,io_k8s_api_core_v1
v1,BoundObjectReference,io_k8s_api_authentication_v1
v1,CSIDriver,io_k8s_api_storage_v1
v1,CSIDriverList,io_k8s_api_storage_v1
v1,CSIDriverSpec,io_k8s_api_storage_v1
v1,CSINode,io_k8s_api_storage_v1
v1,CSINodeDriver,io_k8s_api_storage_v1
v1,CSINodeList,io_k8s_api_storage_v1
v1,CSINodeSpec,io_k8s_api_storage_v1
v1,CSIPersistentVolumeSource,io_k8s_api_core_v1
v1,CSIStorageCapacity,io_k8s_api_storage_v1
v1,CSIStorageCapacityList,io_k8s_api_storage_v1
v1,CSIVolumeSource,io_k8s_api_core_v1
v1,Capabilities,io_k8s_api_core_v1
v1,CephFSPersistentVolumeSource,io_k8s_api_core_v1
v1,CephFSVolumeSource,io_k8s_api_core_v1
v1,CertificateSigningRequest,io_k8s_api_certificates_v1
v1,CertificateSigningRequestCondition,io_k8s_api_certificates_v1
v1,CertificateSigningRequestList,io_k8s_api_certificates_v1
v1,CertificateSigningRequestSpec,io_k8s_api_certificates_v1
v1,CertificateSigningRequestStatus,io_k8s_api_certificates_v1
v1,CinderPersistentVolumeSource,io_k8s_api_core_v1
v1,CinderVolumeSource,io_k8s_api_core_v1
v1,ClaimSource,io_k8s_api_core_v1
v1,ClientIPConfig,io_k8s_api_core_v1
v1,ClusterRole,io_k8s_api_rbac_v1
v1,ClusterRoleBinding,io_k8s_api_rbac_v1
v1,ClusterRoleBindingList,io_k8s_api_rbac_v1
v1,ClusterRoleList,io_k8s_api_rbac_v1
v1,ClusterTrustBundleProjection,io_k8s_api_core_v1
v1,ComponentCondition,io_k8s_api_core_v1
v1,ComponentStatus,io_k8s_api_core_v1
v1,ComponentStatusList,io_k8s_api_core_v1
v1,Condition,io_k8s_apimachinery_pkg_apis_meta_v1
v1,ConfigMap,io_k8s_api_core_v1
v1,ConfigMapEnvSource,io_k8s_api_core_v1
v1,ConfigMapKeySelector,io_k8s_api_core_v1
v1,ConfigMapList,io_k8s_api_core_v1
v1,ConfigMapNodeConfigSource,io_k8s_api_core_v1
v1,ConfigMapProjection,io_k8s_api_core_v1
v1,ConfigMapVolumeSource,io_k8s_api_core_v1
v1,Container,io_k8s_api_core_v1
v1,ContainerImage,io_k8s_api_core_v1
v1,ContainerPort,io_k8s_api_core_v1
v1,ContainerResizePolicy,io_k8s_api_core_v1
v1,ContainerState,io_k8s_api_core_v1
v1,ContainerStateRunning,io_k8s_api_core_v1
v1,ContainerStateTerminated,io_k8s_api_core_v1
v1,ContainerStateWaiting,io_k8s_api_core_v1
v1,ContainerStatus,io_k8s_api_core_v1
v1,ControllerRevision,io_k8s_api_apps_v1
v1,ControllerRevisionList,io_k8s_api_apps_v1
v1,CronJob,io_k8s_api_batch_v1
v1,CronJobList,io_k8s_api_batch_v1
v1,CronJobSpec,io_k8s_api_batch_v1
v1,CronJobStatus,io_k8s_api_batch_v1
v1,CrossVersionObjectReference,io_k8s_api_autoscaling_v1
v1,CustomResourceColumnDefinition,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,CustomResourceConversion,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,CustomResourceDefinition,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,CustomResourceDefinitionCondition,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,CustomResourceDefinitionList,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,CustomResourceDefinitionNames,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,CustomResourceDefinitionSpec,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,CustomResourceDefinitionStatus,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,CustomResourceDefinitionVersion,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,CustomResourceSubresourceScale,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,CustomResourceSubresourceStatus,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,CustomResourceSubresources,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,CustomResourceValidation,io_k8s_apiextensions_apiserver_pkg_apis_apiextensions_v1
v1,DaemonEndpoint,io_k8s_api_core_v1
v1,DaemonSet,io_k8s_api_apps_v1
v1,DaemonSetCondition,io_k8s_api_apps_v1
v1,DaemonSetList,io_k8s_api_apps_v1
v1,DaemonSetSpec,io_k8s_api_apps_v1
v1,DaemonSetStatus,io_k8s_api_apps_v1
