Feature,Midle,Turned,Value
kyverno_io_v1_ClusterPolicy,ClusterPolicy,ClusterPolicy,
kyverno_io_v1_ClusterPolicy_spec,ClusterPolicy_spec,spec,
kyverno_io_v1_ClusterPolicy_spec_admission,ClusterPolicy_spec_admission,admission,
kyverno_io_v1_ClusterPolicy_spec_applyRules,ClusterPolicy_spec_applyRules,applyRules,
kyverno_io_v1_ClusterPolicy_spec_applyRules_All,ClusterPolicy_spec_applyRules_All,All,All
kyverno_io_v1_ClusterPolicy_spec_applyRules_One,ClusterPolicy_spec_applyRules_One,One,One
kyverno_io_v1_ClusterPolicy_spec_background,ClusterPolicy_spec_background,background,
kyverno_io_v1_ClusterPolicy_spec_emitWarning,ClusterPolicy_spec_emitWarning,emitWarning,
kyverno_io_v1_ClusterPolicy_spec_failurePolicy,ClusterPolicy_spec_failurePolicy,failurePolicy,
kyverno_io_v1_ClusterPolicy_spec_failurePolicy_Ignore,ClusterPolicy_spec_failurePolicy_Ignore,Ignore,Ignore
kyverno_io_v1_ClusterPolicy_spec_failurePolicy_Fail,ClusterPolicy_spec_failurePolicy_Fail,Fail,Fail
kyverno_io_v1_ClusterPolicy_spec_generateExisting,ClusterPolicy_spec_generateExisting,generateExisting,
kyverno_io_v1_ClusterPolicy_spec_generateExistingOnPolicyUpdate,ClusterPolicy_spec_generateExistingOnPolicyUpdate,generateExistingOnPolicyUpdate,
kyverno_io_v1_ClusterPolicy_spec_mutateExistingOnPolicyUpdate,ClusterPolicy_spec_mutateExistingOnPolicyUpdate,mutateExistingOnPolicyUpdate,
kyverno_io_v1_ClusterPolicy_spec_rules,ClusterPolicy_spec_rules,rules,-
kyverno_io_v1_ClusterPolicy_spec_rules_match,ClusterPolicy_spec_rules_match,match,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all,ClusterPolicy_spec_rules_match_all,all,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_clusterRoles,ClusterPolicy_spec_rules_match_all_clusterRoles,clusterRoles,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_clusterRoles_StringValue,ClusterPolicy_spec_rules_match_all_clusterRoles_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources,ClusterPolicy_spec_rules_match_all_resources,resources,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_annotations,ClusterPolicy_spec_rules_match_all_resources_annotations,annotations,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_kinds,ClusterPolicy_spec_rules_match_all_resources_kinds,kinds,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_kinds_StringValue,ClusterPolicy_spec_rules_match_all_resources_kinds_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_name,ClusterPolicy_spec_rules_match_all_resources_name,name,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_names,ClusterPolicy_spec_rules_match_all_resources_names,names,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_names_StringValue,ClusterPolicy_spec_rules_match_all_resources_names_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_namespaceSelector,ClusterPolicy_spec_rules_match_all_resources_namespaceSelector,namespaceSelector,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_namespaceSelector_matchExpressions,ClusterPolicy_spec_rules_match_all_resources_namespaceSelector_matchExpressions,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_namespaceSelector_matchExpressions_key,ClusterPolicy_spec_rules_match_all_resources_namespaceSelector_matchExpressions_key,key,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_namespaceSelector_matchExpressions_operator,ClusterPolicy_spec_rules_match_all_resources_namespaceSelector_matchExpressions_operator,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_namespaceSelector_matchExpressions_values,ClusterPolicy_spec_rules_match_all_resources_namespaceSelector_matchExpressions_values,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_namespaceSelector_matchExpressions_values_StringValue,ClusterPolicy_spec_rules_match_all_resources_namespaceSelector_matchExpressions_values_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_namespaceSelector_matchLabels,ClusterPolicy_spec_rules_match_all_resources_namespaceSelector_matchLabels,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_namespaces,ClusterPolicy_spec_rules_match_all_resources_namespaces,namespaces,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_namespaces_StringValue,ClusterPolicy_spec_rules_match_all_resources_namespaces_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_operations,ClusterPolicy_spec_rules_match_all_resources_operations,operations,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_operations_CREATE,ClusterPolicy_spec_rules_match_all_resources_operations_CREATE,CREATE,CREATE
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_operations_CONNECT,ClusterPolicy_spec_rules_match_all_resources_operations_CONNECT,CONNECT,CONNECT
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_operations_UPDATE,ClusterPolicy_spec_rules_match_all_resources_operations_UPDATE,UPDATE,UPDATE
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_operations_DELETE,ClusterPolicy_spec_rules_match_all_resources_operations_DELETE,DELETE,DELETE
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_selector,ClusterPolicy_spec_rules_match_all_resources_selector,selector,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_selector_matchExpressions,ClusterPolicy_spec_rules_match_all_resources_selector_matchExpressions,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_selector_matchExpressions_key,ClusterPolicy_spec_rules_match_all_resources_selector_matchExpressions_key,key,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_selector_matchExpressions_operator,ClusterPolicy_spec_rules_match_all_resources_selector_matchExpressions_operator,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_match_all_resources_selector_matchExpressions_values,ClusterPolicy_spec_rules_match_all_resources_selector_matchExpressions_values,values,-
