Archivo;Categoria;Resultado;Razon
.chainsaw.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
artifacthub-repo.yml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
application-field-validation.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
argo\application-prevent-default-project\application-prevent-default-project.yaml;argo;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Application_spec_project']
application-prevent-updates-project.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
argo\applicationset-name-matches-project\applicationset-name-matches-project.yaml;argo;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_ApplicationSet_spec_template_spec_project']
appproject-clusterresourceblacklist.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
argo-cluster-generation-from-rancher-capi.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
aws\require-aws-node-irsa\require-aws-node-irsa.yaml;aws;ACEPTADA;Semántica Correcta
aws\require-encryption-aws-loadbalancers\require-encryption-aws-loadbalancers.yaml;aws;ACEPTADA;Semántica Correcta
add-network-policy.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-networkpolicy-dns.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-ns-quota.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-rolebinding.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-safe-to-evict.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-deprecated-apis.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
best-practices\disallow-cri-sock-mount\disallow-cri-sock-mount.yaml;best-practices;ACEPTADA;Semántica Correcta
best-practices\disallow-default-namespace\disallow-default-namespace.yaml;best-practices;ACEPTADA;Semántica Correcta
disallow-empty-ingress-host.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-helm-tiller.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disallow-latest-tag.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-drop-all.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
require-drop-cap-net-raw.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
best-practices\require-labels\require-labels.yaml;best-practices;ACEPTADA;Semántica Correcta
best-practices\require-pod-requests-limits\require-pod-requests-limits.yaml;best-practices;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Pod_spec_initContainers_resources_requests_memory', 'io_k8s_api_core_v1_Pod_spec_ephemeralContainers_resources_limits_memory', 'io_k8s_api_core_v1_Pod_spec_initContainers_resources_requests_cpu']
require-probes.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
best-practices\require-ro-rootfs\require-ro-rootfs.yaml;best-practices;ACEPTADA;Semántica Correcta
best-practices\restrict-image-registries\restrict-image-registries.yaml;best-practices;ACEPTADA;Semántica Correcta
best-practices\restrict-node-port\restrict-node-port.yaml;best-practices;ACEPTADA;Semántica Correcta
best-practices\restrict-service-external-ips\restrict-service-external-ips.yaml;best-practices;ACEPTADA;Semántica Correcta
add-castai-removal-disabled.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
limit-dnsnames.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
limit-duration.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
cert-manager\restrict-issuer\restrict-issuer.yaml;cert-manager;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Certificate_spec_issuerRef_kind', 'io_k8s_api_core_v1_Certificate_spec_issuerRef_name', 'io_k8s_api_core_v1_Certificate_spec_dnsNames']
cleanup-bare-pods.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
cleanup-empty-replicasets.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
consul\enforce-min-tls-version\enforce-min-tls-version.yaml;consul;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Mesh_spec_tls_incoming_tlsMinVersion']
artifacthub-pkg.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
schedule-based-quotas.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-external-secret-prefix.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
generate-flux-multi-tenant-resources.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
verify-flux-images.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
flux\verify-flux-sources\verify-flux-sources.yaml;flux;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_ImageRepository_spec_image', 'io_k8s_api_core_v1_GitRepository_spec_url', 'io_k8s_api_core_v1_Bucket_spec_endpoint']
flux\verify-git-repositories\verify-git-repositories.yaml;flux;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_GitRepository_spec_url']
add-ambient-mode-namespace.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-sidecar-injection-namespace.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
