Archivo_Original;Nuevo_Nombre;Categoria;Resultado;Razon
argo\application-field-validation\application-field-validation.yaml;application-field-validation.yaml;argo;DESCARTADA;Usa anyPattern (Descartado en Baseline)
argo\application-prevent-default-project\application-prevent-default-project.yaml;application-prevent-default-project.yaml;argo;DESCARTADA;Variables dinámicas complejas
argo\application-prevent-updates-project\application-prevent-updates-project.yaml;application-prevent-updates-project.yaml;argo;DESCARTADA;Variables dinámicas complejas
argo\applicationset-name-matches-project\applicationset-name-matches-project.yaml;applicationset-name-matches-project.yaml;argo;DESCARTADA;Variables dinámicas complejas
argo\appproject-clusterresourceblacklist\appproject-clusterresourceblacklist.yaml;appproject-clusterresourceblacklist.yaml;argo;DESCARTADA;Estructura foreach
argo\argo-cluster-generation-from-rancher-capi\argo-cluster-generation-from-rancher-capi.yaml;argo-cluster-generation-from-rancher-capi.yaml;argo;DESCARTADA;Mutación/Generación
aws\require-aws-node-irsa\require-aws-node-irsa.yaml;require-aws-node-irsa.yaml;aws;ACEPTADA;Estática Pura (Pattern Simple)
aws\require-encryption-aws-loadbalancers\require-encryption-aws-loadbalancers.yaml;require-encryption-aws-loadbalancers.yaml;aws;ACEPTADA;Estática Pura (Pattern Simple)
best-practices\add-network-policy\add-network-policy.yaml;add-network-policy.yaml;best-practices;DESCARTADA;Mutación/Generación
best-practices\add-networkpolicy-dns\add-networkpolicy-dns.yaml;add-networkpolicy-dns.yaml;best-practices;DESCARTADA;Mutación/Generación
best-practices\add-ns-quota\add-ns-quota.yaml;add-ns-quota.yaml;best-practices;DESCARTADA;Mutación/Generación
best-practices\add-rolebinding\add-rolebinding.yaml;add-rolebinding.yaml;best-practices;DESCARTADA;Mutación/Generación
best-practices\add-safe-to-evict\add-safe-to-evict.yaml;add-safe-to-evict.yaml;best-practices;DESCARTADA;Mutación/Generación
best-practices\check-deprecated-apis\check-deprecated-apis.yaml;check-deprecated-apis.yaml;best-practices;ACEPTADA;Estática Pura (Pattern Simple)
best-practices\disallow-cri-sock-mount\disallow-cri-sock-mount.yaml;disallow-cri-sock-mount.yaml;best-practices;ACEPTADA;Estática Pura (Pattern Simple)
best-practices\disallow-default-namespace\disallow-default-namespace.yaml;disallow-default-namespace.yaml;best-practices;ACEPTADA;Estática Pura (Pattern Simple)
best-practices\disallow-empty-ingress-host\disallow-empty-ingress-host.yaml;disallow-empty-ingress-host.yaml;best-practices;ACEPTADA;Estática Pura (Pattern Simple)
best-practices\disallow-helm-tiller\disallow-helm-tiller.yaml;disallow-helm-tiller.yaml;best-practices;DESCARTADA;Estructura foreach
best-practices\disallow-latest-tag\disallow-latest-tag.yaml;disallow-latest-tag.yaml;best-practices;DESCARTADA;Estructura foreach
best-practices\require-drop-all\require-drop-all.yaml;require-drop-all.yaml;best-practices;DESCARTADA;Estructura foreach
best-practices\require-drop-cap-net-raw\require-drop-cap-net-raw.yaml;require-drop-cap-net-raw.yaml;best-practices;DESCARTADA;Estructura foreach
best-practices\require-labels\require-labels.yaml;require-labels.yaml;best-practices;ACEPTADA;Estática Pura (Pattern Simple)
best-practices\require-pod-requests-limits\require-pod-requests-limits.yaml;require-pod-requests-limits.yaml;best-practices;ACEPTADA;Estática Pura (Pattern Simple)
best-practices\require-probes\require-probes.yaml;require-probes.yaml;best-practices;DESCARTADA;Estructura foreach
best-practices\require-ro-rootfs\require-ro-rootfs.yaml;require-ro-rootfs.yaml;best-practices;ACEPTADA;Estática Pura (Pattern Simple)
best-practices\restrict-image-registries\restrict-image-registries.yaml;restrict-image-registries.yaml;best-practices;ACEPTADA;Estática Pura (Pattern Simple)
best-practices\restrict-node-port\restrict-node-port.yaml;restrict-node-port.yaml;best-practices;ACEPTADA;Estática Pura (Pattern Simple)
best-practices\restrict-service-external-ips\restrict-service-external-ips.yaml;restrict-service-external-ips.yaml;best-practices;ACEPTADA;Estática Pura (Pattern Simple)
castai\add-castai-removal-disabled\add-castai-removal-disabled.yaml;add-castai-removal-disabled.yaml;castai;DESCARTADA;Mutación/Generación
cert-manager\limit-dnsnames\limit-dnsnames.yaml;limit-dnsnames.yaml;cert-manager;DESCARTADA;Variables dinámicas complejas
cert-manager\limit-duration\limit-duration.yaml;limit-duration.yaml;cert-manager;ACEPTADA;Estática Pura (Pattern Simple)
cert-manager\restrict-issuer\restrict-issuer.yaml;restrict-issuer.yaml;cert-manager;ACEPTADA;Estática Pura (Pattern Simple)
consul\enforce-min-tls-version\enforce-min-tls-version.yaml;enforce-min-tls-version.yaml;consul;ACEPTADA;Estática Pura (Pattern Simple)
cost-optimization\schedule-based-quotas\schedule-based-quotas.yaml;schedule-based-quotas.yaml;cost-optimization;DESCARTADA;Mutación/Generación
external-secret-operator\add-external-secret-prefix\add-external-secret-prefix.yaml;add-external-secret-prefix.yaml;external-secret-operator;DESCARTADA;Mutación/Generación
flux\generate-flux-multi-tenant-resources\generate-flux-multi-tenant-resources.yaml;generate-flux-multi-tenant-resources.yaml;flux;DESCARTADA;Mutación/Generación
flux\verify-flux-images\verify-flux-images.yaml;verify-flux-images.yaml;flux;DESCARTADA;No tiene pattern simple ni deny (posible CEL)
flux\verify-flux-sources\verify-flux-sources.yaml;verify-flux-sources.yaml;flux;ACEPTADA;Estática Pura (Pattern Simple)
flux\verify-git-repositories\verify-git-repositories.yaml;verify-git-repositories.yaml;flux;ACEPTADA;Estática Pura (Pattern Simple)
istio\add-ambient-mode-namespace\add-ambient-mode-namespace.yaml;add-ambient-mode-namespace.yaml;istio;DESCARTADA;Mutación/Generación
istio\add-sidecar-injection-namespace\add-sidecar-injection-namespace.yaml;add-sidecar-injection-namespace.yaml;istio;DESCARTADA;Mutación/Generación
istio\create-authorizationpolicy\create-authorizationpolicy.yaml;create-authorizationpolicy.yaml;istio;DESCARTADA;Mutación/Generación
istio\enforce-ambient-mode-namespace\enforce-ambient-mode-namespace.yaml;enforce-ambient-mode-namespace.yaml;istio;ACEPTADA;Estática Pura (Pattern Simple)
istio\enforce-sidecar-injection-namespace\enforce-sidecar-injection-namespace.yaml;enforce-sidecar-injection-namespace.yaml;istio;ACEPTADA;Estática Pura (Pattern Simple)
istio\enforce-strict-mtls\enforce-strict-mtls.yaml;enforce-strict-mtls.yaml;istio;ACEPTADA;Estática Pura (Pattern Simple)
istio\enforce-tls-hosts-host-subnets\enforce-tls-hosts-host-subnets.yaml;enforce-tls-hosts-host-subnets.yaml;istio;ACEPTADA;Estática Pura (Pattern Simple)
istio\prevent-disabling-injection-pods\prevent-disabling-injection-pods.yaml;prevent-disabling-injection-pods.yaml;istio;ACEPTADA;Estática Pura (Pattern Simple)
istio\require-authorizationpolicy\require-authorizationpolicy.yaml;require-authorizationpolicy.yaml;istio;DESCARTADA;API Call / Contexto
istio\restrict-virtual-service-wildcard\restrict-virtual-service-wildcard.yaml;restrict-virtual-service-wildcard.yaml;istio;DESCARTADA;Estructura foreach
istio\service-mesh-disallow-capabilities\service-mesh-disallow-capabilities.yaml;service-mesh-disallow-capabilities.yaml;istio;DESCARTADA;API Call / Contexto
istio\service-mesh-require-run-as-nonroot\service-mesh-require-run-as-nonroot.yaml;service-mesh-require-run-as-nonroot.yaml;istio;DESCARTADA;Usa anyPattern (Descartado en Baseline)
karpenter\add-karpenter-daemonset-priority-class\add-karpenter-daemonset-priority-class.yaml;add-karpenter-daemonset-priority-class.yaml;karpenter;DESCARTADA;Mutación/Generación
karpenter\add-karpenter-donot-evict\add-karpenter-donot-evict.yaml;add-karpenter-donot-evict.yaml;karpenter;DESCARTADA;Mutación/Generación
karpenter\add-karpenter-nodeselector\add-karpenter-nodeselector.yaml;add-karpenter-nodeselector.yaml;karpenter;DESCARTADA;Mutación/Generación
karpenter\set-karpenter-non-cpu-limits\set-karpenter-non-cpu-limits.yaml;set-karpenter-non-cpu-limits.yaml;karpenter;DESCARTADA;Mutación/Generación
kasten\kasten-3-2-1-backup\kasten-3-2-1-backup.yaml;kasten-3-2-1-backup.yaml;kasten;ACEPTADA;Estática Pura (Pattern Simple)
kasten\kasten-data-protection-by-label\kasten-data-protection-by-label.yaml;kasten-data-protection-by-label.yaml;kasten;ACEPTADA;Estática Pura (Pattern Simple)
kasten\kasten-generate-example-backup-policy\kasten-generate-example-backup-policy.yaml;kasten-generate-example-backup-policy.yaml;kasten;DESCARTADA;Mutación/Generación
kasten\kasten-generate-policy-by-preset-label\kasten-generate-policy-by-preset-label.yaml;kasten-generate-policy-by-preset-label.yaml;kasten;DESCARTADA;Mutación/Generación
kasten\kasten-hourly-rpo\kasten-hourly-rpo.yaml;kasten-hourly-rpo.yaml;kasten;DESCARTADA;API Call / Contexto
kasten\kasten-immutable-location-profile\kasten-immutable-location-profile.yaml;kasten-immutable-location-profile.yaml;kasten;ACEPTADA;Estática Pura (Pattern Simple)
kasten\kasten-minimum-retention\kasten-minimum-retention.yaml;kasten-minimum-retention.yaml;kasten;DESCARTADA;Mutación/Generación
kasten\kasten-validate-ns-by-preset-label\kasten-validate-ns-by-preset-label.yaml;kasten-validate-ns-by-preset-label.yaml;kasten;ACEPTADA;Estática Pura (Pattern Simple)
kubecost\enable-kubecost-continuous-rightsizing\enable-kubecost-continuous-rightsizing.yaml;enable-kubecost-continuous-rightsizing.yaml;kubecost;DESCARTADA;Mutación/Generación
kubecost\kubecost-proactive-cost-control\kubecost-proactive-cost-control.yaml;kubecost-proactive-cost-control.yaml;kubecost;DESCARTADA;API Call / Contexto
